i,lid,rc,expansion,time,recall
95, 44.143478780531446, 1.3786921501159668, 1.017677664756775, 0.00018534660339355468, 0.37
96, 40.71029596177607, 1.5050691366195679, 1.0155905485153198, 0.00017962455749511718, 0.06
97, 53.19264773816982, 1.3912699222564697, 1.0127649307250977, 0.00018911361694335939, 0.17
98, 47.79078693388537, 1.4446920156478882, 1.0101158618927002, 0.00016336441040039064, 0.05
99, 34.74299466329186, 1.5427085161209106, 1.020424246788025, 0.0003824710845947266, 0.36
100, 55.94671267517986, 1.3980460166931152, 1.011646032333374, 0.00020766258239746094, 0.08
101, 88.08370458123953, 1.2843445539474487, 1.0091465711593628, 0.00016942024230957032, 0.01
102, 50.87395835159733, 1.478647232055664, 1.0149050951004028, 0.00020456314086914062, 0.29
103, 39.57634332176008, 1.6185181140899658, 1.015529990196228, 0.0001938343048095703, 0.31
104, 89.03295151507446, 1.3622080087661743, 1.009178876876831, 0.00018157958984375, 0.12
105, 38.80628566539463, 1.387143611907959, 1.0128902196884155, 0.00018696784973144532, 0.11
106, 38.18770633094695, 1.4259705543518066, 1.0141067504882812, 0.0001708507537841797, 0.27
107, 24.14285352799074, 1.6820356845855713, 1.0271944999694824, 0.0001915454864501953, 0.39
108, 16.173800642882536, 1.5541460514068604, 1.014601707458496, 0.0001888275146484375, 0.03
109, 64.71379738842505, 1.5980956554412842, 1.0150288343429565, 0.00017762184143066406, 0.09
110, 45.25430657321065, 1.5860103368759155, 1.0177494287490845, 0.00017976760864257812, 0.22
111, 18.14563861427149, 1.6863499879837036, 1.0503921508789062, 0.00018658638000488282, 0.75
112, 43.92965194728915, 1.539679765701294, 1.0157257318496704, 0.0001941680908203125, 0.4
113, 56.8923422215943, 1.3608818054199219, 1.0107752084732056, 0.00017724037170410156, 0.07
114, 53.58382996044312, 1.471108317375183, 1.0137461423873901, 0.00019445419311523438, 0.07
115, 56.111591977543426, 1.3736286163330078, 1.0098553895950317, 0.00017147064208984376, 0.08
116, 48.26835457807076, 1.5249884128570557, 1.0122482776641846, 0.00020036697387695312, 0.14
117, 71.2147481917031, 1.2861918210983276, 1.011155366897583, 0.00016961097717285156, 0.02
118, 14.953300628602076, 1.814392328262329, 1.0583325624465942, 0.00015883445739746095, 0.74
119, 56.36188285607696, 1.377644419670105, 1.0101271867752075, 0.00042834281921386717, 0.04
120, 21.0247062618803, 1.8286311626434326, 1.043302059173584, 0.000170135498046875, 0.68
121, 40.98877267264885, 1.637037754058838, 1.0158207416534424, 0.00017294883728027343, 0.25
122, 55.78885649654033, 1.3579926490783691, 1.0128268003463745, 0.00016369819641113282, 0.06
123, 65.99492713056661, 1.46317720413208, 1.0127980709075928, 0.00017566680908203124, 0.23
124, 58.621335108845486, 1.4519270658493042, 1.013777256011963, 0.0001659393310546875, 0.26
125, 50.563452895716814, 1.3042834997177124, 1.0142104625701904, 0.00015077590942382812, 0.0
126, 49.36186428749209, 1.3390337228775024, 1.0129013061523438, 0.00016460418701171874, 0.02
127, 98.2531520178237, 1.3020280599594116, 1.0090686082839966, 0.00015020370483398438, 0.03
128, 22.927709942198046, 1.6623307466506958, 1.0357494354248047, 0.00017642974853515625, 0.53
129, 31.758915011996987, 1.589406967163086, 1.0160034894943237, 0.00016994476318359374, 0.28
130, 6.937681374741604, 2.8970746994018555, 1.1097915172576904, 0.00015263557434082032, 0.79
131, 40.27719131843253, 1.499263882637024, 1.01617431640625, 0.00017480850219726564, 0.47
132, 33.09637812672611, 1.5405797958374023, 1.019900918006897, 0.00015592575073242188, 0.19
133, 14.943137341082336, 2.2345821857452393, 1.0435165166854858, 0.00016999244689941406, 0.81
134, 56.99369520470286, 1.456323504447937, 1.011895775794983, 0.00019903182983398436, 0.02
135, 50.53159501741723, 1.4799411296844482, 1.0147850513458252, 0.0001759052276611328, 0.02
136, 49.08321970852107, 1.5174626111984253, 1.0069166421890259, 0.0001922130584716797, 0.39
137, 52.577980258219036, 1.3507413864135742, 1.0106884241104126, 0.00017266273498535157, 0.02
138, 25.244213030140763, 1.5250496864318848, 1.0308330059051514, 0.00019059181213378906, 0.59
139, 50.99776362085157, 1.488701581954956, 1.012308955192566, 0.0001686573028564453, 0.07
140, 33.71758505115048, 1.6541098356246948, 1.02298903465271, 0.00019998550415039061, 0.5
141, 20.977514168900143, 1.5217920541763306, 1.031166434288025, 0.0001800537109375, 0.54
142, 37.45739792194302, 1.4414714574813843, 1.0168429613113403, 0.0001914501190185547, 0.11
143, 30.562083294856404, 1.5770655870437622, 1.0314795970916748, 0.00016736984252929688, 0.34
144, 51.989823794106776, 1.4947123527526855, 1.0125654935836792, 0.00019588470458984376, 0.19
145, 69.22894208951028, 1.4066511392593384, 1.0123114585876465, 0.0001873493194580078, 0.07
146, 44.78273068870576, 1.4491298198699951, 1.012824535369873, 0.00018768310546875, 0.21
147, 27.11058952366093, 1.6458097696304321, 1.0315921306610107, 0.00018343925476074218, 0.58
148, 18.584841742805526, 1.5220869779586792, 1.015826940536499, 0.00015239715576171876, 0.09
149, 35.39268458493678, 1.769184947013855, 1.0241984128952026, 0.00019021034240722655, 0.51
150, 24.48980547001902, 1.7153981924057007, 1.0343657732009888, 0.00017032623291015624, 0.41
151, 40.64043752501505, 1.6510014533996582, 1.0226969718933105, 0.00019178390502929687, 0.37
152, 53.39891891142391, 1.6293270587921143, 1.0151516199111938, 0.00018358230590820312, 0.16
153, 40.5671197770126, 1.3715673685073853, 1.0128486156463623, 0.00017528533935546876, 0.06
154, 46.748885612832105, 1.491430401802063, 1.0147672891616821, 0.00019292831420898439, 0.32
155, 32.54317819224122, 1.4933786392211914, 1.0121227502822876, 0.00017685890197753905, 0.02
156, 47.98674211337555, 1.5510040521621704, 1.0135338306427002, 0.00018644332885742188, 0.07
157, 39.58820056328594, 1.6211084127426147, 1.0184756517410278, 0.00018606185913085937, 0.32
158, 47.32550035475298, 1.3663069009780884, 1.014671802520752, 0.00016689300537109375, 0.01
159, 39.66397545995497, 1.517367959022522, 1.0164345502853394, 0.00018219947814941407, 0.33
160, 27.055280115030605, 1.4865103960037231, 1.0227060317993164, 0.00019016265869140626, 0.58
161, 26.56288832869294, 1.8727439641952515, 1.0316355228424072, 0.00016808509826660156, 0.47
162, 73.95658149876947, 1.3569598197937012, 1.009150505065918, 0.00016431808471679689, 0.13
163, 93.20311560989643, 1.34528386592865, 1.0087639093399048, 0.00017867088317871093, 0.11
164, 12.935302951190094, 1.4982019662857056, 1.0445092916488647, 0.0001778125762939453, 0.01
165, 23.89272229285468, 1.48590087890625, 1.0260874032974243, 0.00014791488647460937, 0.55
166, 36.349047544887725, 1.5554921627044678, 1.0189961194992065, 0.00017180442810058594, 0.35
167, 75.13990647968517, 1.3330788612365723, 1.0095791816711426, 0.00015850067138671874, 0.01
168, 84.52766169038082, 1.2858985662460327, 1.0098187923431396, 0.00019011497497558593, 0.05
169, 50.43410613498218, 1.3889323472976685, 1.0175023078918457, 0.000185394287109375, 0.24
170, 42.29437223127043, 1.4760195016860962, 1.016093134880066, 0.00016541481018066405, 0.07
171, 26.353230645502034, 1.5372895002365112, 1.0234953165054321, 0.00019779205322265626, 0.42
172, 95.0575757041979, 1.2092586755752563, 1.0063570737838745, 0.00015797615051269532, 0.0
173, 74.53717707608727, 1.3128925561904907, 1.0093598365783691, 0.0001895427703857422, 0.12
174, 66.13405587392987, 1.285315990447998, 1.0101696252822876, 0.0001857280731201172, 0.05
175, 40.417241126972286, 1.3906891345977783, 1.0158411264419556, 0.00017132759094238282, 0.27
176, 84.92321953296556, 1.2172205448150635, 1.0084269046783447, 0.00015811920166015626, 0.0
177, 51.8578946408432, 1.4157689809799194, 1.015749216079712, 0.00018243789672851564, 0.14
178, 40.446379782725096, 1.5876545906066895, 1.0184613466262817, 0.0001742839813232422, 0.17
179, 3.0066079060035307, 4.065237522125244, 1.4059792757034302, 0.00015730857849121093, 0.5
180, 51.605132900745275, 1.3609974384307861, 1.0140113830566406, 0.00017895698547363282, 0.07
181, 37.178726127160154, 1.5070900917053223, 1.0181258916854858, 0.00016493797302246093, 0.2
182, 7.3336762440693475, 1.9691507816314697, 1.0834202766418457, 0.00014786720275878907, 0.58
